regime,seed,task,cc_gain,cc_mode,limb_condition,always_late_path_error,disrupted_late_path_error,retention_ratio
capacity,9101,straight,0.0,dropout,intact,0.6180160406307385,0.6180160406307385,1.0
capacity,9101,straight,0.0,dropout,L4 failure,2.2984508413244233,2.2984508413244233,1.0
capacity,9101,straight,0.0,dropout,L4 slip,1.0883668621862346,1.0883668621862346,1.0
capacity,9101,straight,0.0,intermittent,intact,0.6180160406307385,0.6180160406307385,1.0
capacity,9101,straight,0.0,intermittent,L4 failure,2.2984508413244233,2.2984508413244233,1.0
capacity,9101,straight,0.0,intermittent,L4 slip,1.0883668621862346,1.0883668621862346,1.0
capacity,9101,straight,0.0,delayed,intact,0.6180160406307385,0.6180160406307385,1.0
capacity,9101,straight,0.0,delayed,L4 failure,2.2984508413244233,2.2984508413244233,1.0
capacity,9101,straight,0.0,delayed,L4 slip,1.0883668621862346,1.0883668621862346,1.0
capacity,9101,straight,0.0,noisy,intact,0.6180160406307385,0.6180160406307385,1.0
capacity,9101,straight,0.0,noisy,L4 failure,2.2984508413244233,2.2984508413244233,1.0
capacity,9101,straight,0.0,noisy,L4 slip,1.0883668621862346,1.0883668621862346,1.0
capacity,9101,straight,0.0,stuck,intact,0.6180160406307385,0.6180160406307385,1.0
capacity,9101,straight,0.0,stuck,L4 failure,2.2984508413244233,2.2984508413244233,1.0
capacity,9101,straight,0.0,stuck,L4 slip,1.0883668621862346,1.0883668621862346,1.0
capacity,9101,straight,0.025,dropout,intact,0.5250708118223477,0.5550415512028308,0.9460027103997286
capacity,9101,straight,0.025,dropout,L4 failure,2.134684591867773,2.2212910460860655,0.9610107579684825
capacity,9101,straight,0.025,dropout,L4 slip,0.9651206821617603,1.0151511685375265,0.9507162204739985
capacity,9101,straight,0.025,intermittent,intact,0.5250708118223477,0.5856001247856085,0.8966371242058376
capacity,9101,straight,0.025,intermittent,L4 failure,2.134684591867773,2.243207762640746,0.9516214357937057
capacity,9101,straight,0.025,intermittent,L4 slip,0.9651206821617603,1.0460367010929648,0.9226451434766502
capacity,9101,straight,0.025,delayed,intact,0.5250708118223477,0.532111959182993,0.9867675453649711
capacity,9101,straight,0.025,delayed,L4 failure,2.134684591867773,2.151351557601854,0.9922527930522616
capacity,9101,straight,0.025,delayed,L4 slip,0.9651206821617603,0.975748313396797,0.9891082248474101
capacity,9101,straight,0.025,noisy,intact,0.5250708118223477,0.5181316282353154,1.0133927041100852
capacity,9101,straight,0.025,noisy,L4 failure,2.134684591867773,2.1291426379196254,1.0026029040278686
