regime,cc_gain,cc_mode,limb_condition,mean,std,n
capacity,0.0,delayed,L4 failure,1.0,0.0,30
capacity,0.0,delayed,L4 slip,1.0,0.0,30
capacity,0.0,delayed,intact,1.0,0.0,30
capacity,0.0,dropout,L4 failure,1.0,0.0,30
capacity,0.0,dropout,L4 slip,1.0,0.0,30
capacity,0.0,dropout,intact,1.0,0.0,30
capacity,0.0,intermittent,L4 failure,1.0,0.0,30
capacity,0.0,intermittent,L4 slip,1.0,0.0,30
capacity,0.0,intermittent,intact,1.0,0.0,30
capacity,0.0,noisy,L4 failure,1.0,0.0,30
capacity,0.0,noisy,L4 slip,1.0,0.0,30
capacity,0.0,noisy,intact,1.0,0.0,30
capacity,0.0,stuck,L4 failure,1.0,0.0,30
capacity,0.0,stuck,L4 slip,1.0,0.0,30
capacity,0.0,stuck,intact,1.0,0.0,30
capacity,0.025,delayed,L4 failure,0.9937748306153215,0.003518689260634598,30
capacity,0.025,delayed,L4 slip,0.9906715850483175,0.0051008320169847595,30
capacity,0.025,delayed,intact,0.9889981122952151,0.005877451842787603,30
capacity,0.025,dropout,L4 failure,0.9702995532354701,0.016093256054261745,30
capacity,0.025,dropout,L4 slip,0.9582052790012557,0.02642116522615761,30
capacity,0.025,dropout,intact,0.9523288576159972,0.030288443551937796,30
capacity,0.025,intermittent,L4 failure,0.955086364674359,0.030203900529300796,30
capacity,0.025,intermittent,L4 slip,0.9277725908259925,0.04151844210286085,30
capacity,0.025,intermittent,intact,0.9111981389194449,0.050444411434350855,30
capacity,0.025,noisy,L4 failure,1.0027139863285113,0.001747642039892643,30
capacity,0.025,noisy,L4 slip,1.0032298601931566,0.0031254412041338514,30
capacity,0.025,noisy,intact,1.0050824306107184,0.008631974682234922,30
capacity,0.025,stuck,L4 failure,0.9897911500524381,0.004773634760413835,30
capacity,0.025,stuck,L4 slip,0.9903102241855555,0.0080915890278309,30
capacity,0.025,stuck,intact,0.9925509183135455,0.00975521988566635,30
capacity,0.05,delayed,L4 failure,0.9884080465304804,0.006599270258867813,30
capacity,0.05,delayed,L4 slip,0.9832735076757001,0.010041503470612544,30
capacity,0.05,delayed,intact,0.9804598894194715,0.011879098056401033,30
capacity,0.05,dropout,L4 failure,0.9429495114744112,0.03126441786195191,30
capacity,0.05,dropout,L4 slip,0.9230829512414747,0.05249942409081349,30
capacity,0.05,dropout,intact,0.9143398469235138,0.061038550423387065,30
capacity,0.05,intermittent,L4 failure,0.9150308241556335,0.05655261285937371,30
capacity,0.05,intermittent,L4 slip,0.8661439667269999,0.07910131442610091,30
capacity,0.05,intermittent,intact,0.8372086169707738,0.09605286601295276,30
capacity,0.05,noisy,L4 failure,1.0052040770829698,0.003405418116979155,30
capacity,0.05,noisy,L4 slip,1.0058860053139047,0.005981318587281714,30
capacity,0.05,noisy,intact,1.0104575970971406,0.016451016919908936,30
capacity,0.05,stuck,L4 failure,0.9802689364306165,0.010092464937736955,30
capacity,0.05,stuck,L4 slip,0.984346671998935,0.01596778075371164,30
capacity,0.05,stuck,intact,0.9900089582536539,0.020296823811025558,30
capacity,0.1,delayed,L4 failure,0.9813446734528855,0.010605096611784114,30
