scenario,regime,mean,std
CC dropout only,capacity,0.5747010980968409,0.2064897465031639
CC dropout only,sensor_comm,0.6155125728085434,0.242184891945053
CC intermittent only,capacity,0.6892569602589443,0.24888219477390597
CC intermittent only,sensor_comm,0.658165026244658,0.29000954225821185
L4 loss + CC dropout,capacity,2.1970837352790697,0.9463801002190584
L4 loss + CC dropout,sensor_comm,1.6110809354439504,0.6721739115514914
L4 loss only,capacity,1.9605673864737336,0.8573265993624848
L4 loss only,sensor_comm,1.5007596727509542,0.6072651486013523
L4 slip + CC dropout,capacity,0.990371656311425,0.3995950749930232
L4 slip + CC dropout,sensor_comm,0.7509177371011926,0.3531328054627211
L4 slip only,capacity,0.8594634402695285,0.3224239692717837
L4 slip only,sensor_comm,0.6808300136681908,0.32419085176192997
