regime,cc_gain,cc_mode,limb_condition,mean,std,n
capacity,0.0,always,L4 failure,2.212365319564985,0.9900490609843343,30
capacity,0.0,always,L4 slip,1.1334341252362512,0.45028325804814223,30
capacity,0.0,always,intact,0.7961483533353584,0.26847428487690916,30
capacity,0.0,delayed,L4 failure,2.212365319564985,0.9900490609843343,30
capacity,0.0,delayed,L4 slip,1.1334341252362512,0.45028325804814223,30
capacity,0.0,delayed,intact,0.7961483533353584,0.26847428487690916,30
capacity,0.0,dropout,L4 failure,2.212365319564985,0.9900490609843343,30
capacity,0.0,dropout,L4 slip,1.1334341252362512,0.45028325804814223,30
capacity,0.0,dropout,intact,0.7961483533353584,0.26847428487690916,30
capacity,0.0,intermittent,L4 failure,2.212365319564985,0.9900490609843343,30
capacity,0.0,intermittent,L4 slip,1.1334341252362512,0.45028325804814223,30
capacity,0.0,intermittent,intact,0.7961483533353584,0.26847428487690916,30
capacity,0.0,noisy,L4 failure,2.212365319564985,0.9900490609843343,30
capacity,0.0,noisy,L4 slip,1.1334341252362512,0.45028325804814223,30
capacity,0.0,noisy,intact,0.7961483533353584,0.26847428487690916,30
capacity,0.0,stuck,L4 failure,2.212365319564985,0.9900490609843343,30
capacity,0.0,stuck,L4 slip,1.1334341252362512,0.45028325804814223,30
capacity,0.0,stuck,intact,0.7961483533353584,0.26847428487690916,30
capacity,0.025,always,L4 failure,2.077775157208416,0.9672280336603697,30
capacity,0.025,always,L4 slip,1.0087712929594936,0.39548271811900026,30
capacity,0.025,always,intact,0.6850115802938596,0.21840674338142607,30
capacity,0.025,delayed,L4 failure,2.0901646552960247,0.970565809245274,30
capacity,0.025,delayed,L4 slip,1.0188285425128951,0.40022302718990327,30
capacity,0.025,delayed,intact,0.6931507877310162,0.221982194172119,30
capacity,0.025,dropout,L4 failure,2.141182809407744,0.9897410593101301,30
capacity,0.025,dropout,L4 slip,1.0571192630605717,0.42095338840288377,30
capacity,0.025,dropout,intact,0.7231167216841389,0.23694296180486138,30
capacity,0.025,intermittent,L4 failure,2.1667480787975513,0.9816720053579273,30
capacity,0.025,intermittent,L4 slip,1.0903658017769067,0.4300396367709135,30
capacity,0.025,intermittent,intact,0.7567254627679398,0.24952210065853866,30
capacity,0.025,noisy,L4 failure,2.07354537659696,0.967966386647263,30
capacity,0.025,noisy,L4 slip,1.0055061905876423,0.3941997989825584,30
capacity,0.025,noisy,intact,0.6817821754104382,0.21807042040712066,30
capacity,0.025,stuck,L4 failure,2.0998142887321363,0.9756649252979398,30
capacity,0.025,stuck,L4 slip,1.020242208222545,0.4026990012302168,30
capacity,0.025,stuck,intact,0.6904726708685127,0.22046851545766435,30
capacity,0.05,always,L4 failure,1.9568027054586383,0.9462291357045857,30
