scenario,regime,mean,std
CC dropout only,all_linear,0.4924650666291638,0.1615041545351053
CC dropout only,no_sensor,0.5048828323874408,0.251269972992753
CC dropout only,own_sensor,0.631333325272363,0.2235596579008574
CC dropout only,peer_sensor,0.6155125728085434,0.242184891945053
CC intermittent only,all_linear,0.5725252853113231,0.18459273801502415
CC intermittent only,no_sensor,0.5926503060153573,0.2630164611721105
CC intermittent only,own_sensor,0.6833196086624895,0.254657839187097
CC intermittent only,peer_sensor,0.658165026244658,0.29000954225821185
L4 loss + CC dropout,all_linear,2.110867960179826,0.8167883409668474
L4 loss + CC dropout,no_sensor,2.8393789844132185,1.0821254521416326
L4 loss + CC dropout,own_sensor,2.4002029322292926,0.8084451566490133
L4 loss + CC dropout,peer_sensor,1.6110809354439504,0.6721739115514914
L4 loss only,all_linear,1.9251823788400018,0.7411360567685006
L4 loss only,no_sensor,2.5283522996776626,0.9531844839578341
L4 loss only,own_sensor,2.185696357529615,0.7509182642432825
L4 loss only,peer_sensor,1.5007596727509542,0.6072651486013523
L4 slip + CC dropout,all_linear,1.0201078478277867,0.3456228511580647
L4 slip + CC dropout,no_sensor,1.1666290460198097,0.34083110930963
L4 slip + CC dropout,own_sensor,1.104272863727634,0.40489711097368625
L4 slip + CC dropout,peer_sensor,0.7509177371011926,0.3531328054627211
L4 slip only,all_linear,0.8804118733249884,0.2579818938615438
L4 slip only,no_sensor,1.0048876390739,0.28776778198305536
L4 slip only,own_sensor,0.999163283309836,0.3459874813775366
L4 slip only,peer_sensor,0.6808300136681908,0.32419085176192997
