regime,seed,split,task,condition,limb,retained_strength,loss,excess_loss
capacity,9101,ID,straight,intact,0,1.0,0.003044178222241826,0.0
capacity,9101,ID,straight,L1,1,0.5,0.003281558543430195,0.000237380321188369
capacity,9101,ID,straight,L1,1,0.0,0.04766166792373044,0.044617489701488613
capacity,9101,ID,straight,L2,2,0.5,0.02505890160590714,0.02201472338366531
capacity,9101,ID,straight,L2,2,0.0,0.10901569187230596,0.10597151365006413
capacity,9101,ID,straight,L3,3,0.5,0.007103811430166419,0.0040596332079245925
capacity,9101,ID,straight,L3,3,0.0,0.10628968143818654,0.10324550321594471
capacity,9101,ID,straight,L4,4,0.5,0.015297479961399768,0.012253301739157943
capacity,9101,ID,straight,L4,4,0.0,0.13719438552370872,0.1341502073014669
capacity,9101,ID,left,intact,0,1.0,0.01733944712438383,0.0
capacity,9101,ID,left,L1,1,0.5,0.018716921708422447,0.0013774745840386161
capacity,9101,ID,left,L1,1,0.0,0.06862480568980066,0.05128535856541683
capacity,9101,ID,left,L2,2,0.5,0.041555994542086944,0.024216547417703113
capacity,9101,ID,left,L2,2,0.0,0.13178551518710602,0.11444606806272219
capacity,9101,ID,left,L3,3,0.5,0.02065683367657345,0.003317386552189619
capacity,9101,ID,left,L3,3,0.0,0.09876254307292602,0.08142309594854219
capacity,9101,ID,left,L4,4,0.5,0.031124268013778246,0.013784820889394415
capacity,9101,ID,left,L4,4,0.0,0.16221309685205232,0.14487364972766847
capacity,9101,ID,right,intact,0,1.0,0.015658430415018687,0.0
capacity,9101,ID,right,L1,1,0.5,0.014275541982423777,-0.00138288843259491
capacity,9101,ID,right,L1,1,0.0,0.05181358980123186,0.03615515938621317
capacity,9101,ID,right,L2,2,0.5,0.0361076797507162,0.020449249335697514
capacity,9101,ID,right,L2,2,0.0,0.11595688235589677,0.10029845194087808
capacity,9101,ID,right,L3,3,0.5,0.02028144632516843,0.0046230159101497414
capacity,9101,ID,right,L3,3,0.0,0.14834977108460343,0.13269134066958474
capacity,9101,ID,right,L4,4,0.5,0.02793606074373764,0.012277630328718953
capacity,9101,ID,right,L4,4,0.0,0.1493422879453991,0.13368385753038042
capacity,9101,OOS,s_lr,intact,0,1.0,0.020582782227393404,0.0
capacity,9101,OOS,s_lr,L1,1,0.5,0.020748438372633866,0.00016565614524046215
capacity,9101,OOS,s_lr,L1,1,0.0,0.06586151956304012,0.04527873733564672
capacity,9101,OOS,s_lr,L2,2,0.5,0.044210001788689064,0.02362721956129566
